Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
87,4000	1,74216	-0,0321020
87,5000	1,75269	-0,0321095
87,6000	1,76083	-0,0321587
87,7000	1,77054	-0,0322526
87,8000	1,78129	-0,0322748
87,9000	1,79068	-0,0323298
88,0000	1,80071	-0,0323992
88,1000	1,81062	-0,0324213
88,2000	1,82117	-0,0324516
88,3000	1,83050	-0,0325190
88,4000	1,84039	-0,0326133
88,5000	1,84993	-0,0326564
88,6000	1,86048	-0,0327096
88,7000	1,86961	-0,0327550
88,8000	1,87943	-0,0327965
88,9000	1,88987	-0,0328322
89,0000	1,89912	-0,0328702
89,1000	1,90902	-0,0329029
89,2000	1,91784	-0,0329392
89,3000	1,92751	-0,0329706
89,4000	1,93703	-0,0330062
89,5000	1,94699	-0,0330455
89,6000	1,95658	-0,0330884
89,7000	1,96722	-0,0332070
89,8000	1,97648	-0,0333777
89,9000	1,98683	-0,0335432
90,0000	1,99495	-0,0337003
90,1000	2,00554	-0,0338237
90,2000	2,01590	-0,0338735
90,3000	2,02576	-0,0339215
90,4000	2,03625	-0,0339634
90,5000	2,04578	-0,0339939
90,6000	2,05553	-0,0340114
90,7000	2,06457	-0,0340273
90,8000	2,07528	-0,0340492
90,9000	2,08468	-0,0340838
91,0000	2,09474	-0,0341246
91,1000	2,10269	-0,0341686
91,2000	2,11395	-0,0342095
91,3000	2,12403	-0,0342536
91,4000	2,13362	-0,0343033
91,5000	2,14227	-0,0343525
91,6000	2,15233	-0,0344053
91,7000	2,16322	-0,0344449
91,8000	2,17198	-0,0344840
91,9000	2,18239	-0,0345269
92,0000	2,19214	-0,0345812
92,1000	2,20214	-0,0346363
92,2000	2,21156	-0,0346931
92,3000	2,22188	-0,0347501
92,4000	2,23097	-0,0348623
92,5000	2,24192	-0,0349875
92,6000	2,25082	-0,0351043
92,7000	2,26134	-0,0352322
92,8000	2,27095	-0,0352930
92,9000	2,28124	-0,0353517
93,0000	2,29141	-0,0353928
93,1000	2,30036	-0,0354247
93,2000	2,31061	-0,0354472
93,3000	2,32026	-0,0354676
93,4000	2,32996	-0,0354841
93,5000	2,33954	-0,0355103
93,6000	2,34951	-0,0355405
93,7000	2,35882	-0,0355755
93,8000	2,36937	-0,0356085
93,9000	2,37882	-0,0356441
94,0000	2,38819	-0,0356924
94,1000	2,39891	-0,0357459
94,2000	2,40893	-0,0358204
94,3000	2,41796	-0,0359140
94,4000	2,42794	-0,0359722
94,5000	2,43736	-0,0360242
94,6000	2,44895	-0,0360723
94,7000	2,45833	-0,0361125
94,8000	2,46786	-0,0361460
94,9000	2,47653	-0,0361718
95,0000	2,48711	-0,0361959
95,1000	2,49628	-0,0362268
95,2000	2,50563	-0,0362569
95,3000	2,51559	-0,0362976
95,4000	2,52661	-0,0363365
95,5000	2,53580	-0,0363634
95,6000	2,54523	-0,0363879
95,7000	2,55530	-0,0364092
95,8000	2,56600	-0,0364267
95,9000	2,57600	-0,0364434
96,0000	2,58534	-0,0364583
96,1000	2,59462	-0,0364841
96,2000	2,60417	-0,0365156
96,3000	2,61551	-0,0365575
96,4000	2,62515	-0,0366225
96,5000	2,63479	-0,0366911
96,6000	2,64457	-0,0367352
96,7000	2,65488	-0,0367698
96,8000	2,66371	-0,0368016
96,9000	2,67464	-0,0368259
97,0000	2,68500	-0,0368542
97,1000	2,69365	-0,0368760
97,2000	2,70314	-0,0368987
97,3000	2,71373	-0,0369228
97,4000	2,72251	-0,0369438
97,5000	2,73384	-0,0369701
97,6000	2,74222	-0,0369915
97,7000	2,75210	-0,0370063
97,8000	2,76118	-0,0370332
97,9000	2,77189	-0,0370712
98,0000	2,78203	-0,0370951
98,1000	2,79103	-0,0371190
98,2000	2,80191	-0,0371518
98,3000	2,81128	-0,0371847
98,4000	2,82122	-0,0372126
98,5000	2,83056	-0,0372349
98,6000	2,84163	-0,0372536
98,7000	2,85140	-0,0372640
98,8000	2,86163	-0,0372848
98,9000	2,87122	-0,0373183
99,0000	2,88171	-0,0373598
99,1000	2,89133	-0,0373920
99,2000	2,90014	-0,0374191
99,3000	2,91054	-0,0374474
99,4000	2,92122	-0,0374740
99,5000	2,93051	-0,0374929
99,6000	2,94005	-0,0375014
99,7000	2,95058	-0,0375144
99,8000	2,96028	-0,0375210
99,9000	2,97034	-0,0375301
100,000	2,97970	-0,0375472
100,100	2,98975	-0,0375714
100,200	2,99809	-0,0376006
100,300	3,00848	-0,0376267
100,400	3,01813	-0,0376626
100,500	3,02934	-0,0376996
100,600	3,03996	-0,0377429
100,700	3,04914	-0,0377875
100,800	3,05827	-0,0378288
100,900	3,06971	-0,0378705
101,000	3,07795	-0,0379073
101,100	3,08901	-0,0379395
101,200	3,09820	-0,0379722
101,300	3,10753	-0,0380033
101,400	3,11850	-0,0380305
101,500	3,12765	-0,0380630
101,600	3,13693	-0,0380922
101,700	3,14730	-0,0381319
101,800	3,15568	-0,0381730
101,900	3,16765	-0,0382009
102,000	3,17705	-0,0382263
102,100	3,18611	-0,0382526
102,200	3,19615	-0,0382833
102,300	3,20703	-0,0383113
102,400	3,21706	-0,0383267
102,500	3,22664	-0,0383405
102,600	3,23596	-0,0383527
102,700	3,24640	-0,0383708
102,800	3,25649	-0,0383961
102,900	3,26677	-0,0384305
103,000	3,27652	-0,0384584
103,100	3,28558	-0,0384849
103,200	3,29607	-0,0385136
103,300	3,30568	-0,0385466
103,400	3,31506	-0,0385806
103,500	3,32449	-0,0386144
103,600	3,33461	-0,0386405
103,700	3,34474	-0,0386618
103,800	3,35519	-0,0386882
103,900	3,36486	-0,0387145
104,000	3,37396	-0,0387430
104,100	3,38458	-0,0387723
104,200	3,39391	-0,0387992
104,300	3,40350	-0,0388254
104,400	3,41501	-0,0388472
104,500	3,42294	-0,0388642
104,600	3,43340	-0,0388877
104,700	3,44445	-0,0389080
104,800	3,45305	-0,0389230
104,900	3,46303	-0,0389413
105,000	3,47245	-0,0389627
105,100	3,48257	-0,0389873
105,200	3,49220	-0,0390163
105,300	3,50307	-0,0390411
105,400	3,51311	-0,0390745
105,500	3,52269	-0,0391027
105,600	3,53278	-0,0391269
105,700	3,54209	-0,0391445
105,800	3,55276	-0,0391539
105,900	3,56276	-0,0391641
106,000	3,57256	-0,0391700
106,100	3,58278	-0,0391809
106,200	3,59378	-0,0391906
106,300	3,60239	-0,0391958
106,400	3,61266	-0,0392026
106,500	3,62275	-0,0392228
106,600	3,63252	-0,0392437
106,700	3,64159	-0,0392616
106,800	3,65211	-0,0392811
106,900	3,66172	-0,0393044
107,000	3,67173	-0,0393293
107,100	3,68173	-0,0393510
107,200	3,69093	-0,0393711
107,300	3,70165	-0,0393996
107,400	3,71276	-0,0394174
107,500	3,72187	-0,0394395
107,600	3,73199	-0,0394705
107,700	3,74085	-0,0395102
107,800	3,75097	-0,0395437
107,900	3,76138	-0,0395744
108,000	3,76993	-0,0396043
108,100	3,77932	-0,0396274
108,200	3,79035	-0,0396439
108,300	3,80069	-0,0396463
108,400	3,81023	-0,0396590
108,500	3,82033	-0,0396674
108,600	3,82979	-0,0396650
108,700	3,83945	-0,0396652
108,800	3,84930	-0,0396745
108,900	3,86090	-0,0396839
109,000	3,87045	-0,0396975
109,100	3,88042	-0,0397102
109,200	3,88986	-0,0397257
109,300	3,90054	-0,0397383
109,400	3,90978	-0,0397441
109,500	3,92000	-0,0397645
109,600	3,92899	-0,0397921
109,700	3,93894	-0,0398155
109,800	3,94929	-0,0398456
109,900	3,95827	-0,0398740
110,000	3,96968	-0,0399037
110,100	3,97960	-0,0399363
110,200	3,98967	-0,0399644
110,300	3,99924	-0,0399938
110,400	4,00917	-0,0400112
110,500	4,01939	-0,0400188
110,600	4,02965	-0,0400091
110,700	4,03977	-0,0399998
110,800	4,04923	-0,0399789
110,900	4,05949	-0,0399641
111,000	4,06892	-0,0399580
