Filename	DSC_A1_1_0-100C_6Cmin_2
Instrument name	DSC2A-00281 (192.168.1.101)
Operator	JDAA
rundate	5/7/2024
Sample name	DSC_A1_1_0-100C_6C/min_2
proceduresegments	Equilibrate 0,00000 °C; Isothermal 0,5 min; Data On ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 0,00000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Mark End of Cycle ; Data Off 
[step]
Ramp 6,00 °C/min to 100,000 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
66,4000	2,60914	-9,08462e-3
66,5000	2,61848	-9,12097e-3
66,6000	2,62925	-9,16198e-3
66,7000	2,63926	-9,20489e-3
66,8000	2,64900	-9,25554e-3
66,9000	2,65876	-9,31200e-3
67,0000	2,67042	-9,48956e-3
67,1000	2,67960	-9,63063e-3
67,2000	2,68895	-9,75750e-3
67,3000	2,69818	-9,81326e-3
67,4000	2,70873	-9,86872e-3
67,5000	2,71834	-9,91636e-3
67,6000	2,72805	-9,97109e-3
67,7000	2,73819	-0,0100228
67,8000	2,74779	-0,0100737
67,9000	2,75810	-0,0101288
68,0000	2,76742	-0,0101804
68,1000	2,77816	-0,0102351
68,2000	2,78756	-0,0102805
68,3000	2,79764	-0,0103216
68,4000	2,80753	-0,0103513
68,5000	2,81724	-0,0103747
68,6000	2,82780	-0,0103941
68,7000	2,83712	-0,0104170
68,8000	2,84618	-0,0104389
68,9000	2,85745	-0,0104648
69,0000	2,86611	-0,0105024
69,1000	2,87571	-0,0105460
69,2000	2,88700	-0,0105903
69,3000	2,89601	-0,0106391
69,4000	2,90680	-0,0106925
69,5000	2,91689	-0,0107504
69,6000	2,92682	-0,0108031
69,7000	2,93587	-0,0108481
69,8000	2,94602	-0,0108933
69,9000	2,95550	-0,0109335
70,0000	2,96633	-0,0109562
70,1000	2,97530	-0,0109754
70,2000	2,98511	-0,0109959
70,3000	2,99554	-0,0110103
70,4000	3,00501	-0,0110236
70,5000	3,01413	-0,0110579
70,6000	3,02427	-0,0111057
70,7000	3,03385	-0,0111563
70,8000	3,04393	-0,0112056
70,9000	3,05361	-0,0112576
71,0000	3,06442	-0,0113286
71,1000	3,07498	-0,0113814
71,2000	3,08360	-0,0114378
71,3000	3,09447	-0,0114884
71,4000	3,10400	-0,0115327
71,5000	3,11425	-0,0115696
71,6000	3,12392	-0,0116068
71,7000	3,13396	-0,0116466
71,8000	3,14275	-0,0116842
71,9000	3,15291	-0,0117181
72,0000	3,16341	-0,0117520
72,1000	3,17299	-0,0117905
72,2000	3,18327	-0,0118367
72,3000	3,19288	-0,0118841
72,4000	3,20355	-0,0119388
72,5000	3,21319	-0,0119975
72,6000	3,22379	-0,0120573
72,7000	3,23392	-0,0121156
72,8000	3,24308	-0,0121664
72,9000	3,25255	-0,0122066
73,0000	3,26304	-0,0122382
73,1000	3,27192	-0,0122724
73,2000	3,28188	-0,0123029
73,3000	3,29146	-0,0123376
73,4000	3,30159	-0,0123715
73,5000	3,31268	-0,0124029
73,6000	3,32206	-0,0124378
73,7000	3,33136	-0,0124797
73,8000	3,34230	-0,0125172
73,9000	3,35298	-0,0125616
74,0000	3,36121	-0,0126096
74,1000	3,37119	-0,0126550
74,2000	3,38094	-0,0127086
74,3000	3,39041	-0,0127534
74,4000	3,40103	-0,0127895
74,5000	3,41098	-0,0128225
74,6000	3,42059	-0,0128532
74,7000	3,43040	-0,0128848
74,8000	3,43978	-0,0129144
74,9000	3,44951	-0,0129363
75,0000	3,46000	-0,0129652
75,1000	3,47039	-0,0129997
75,2000	3,47967	-0,0130400
75,3000	3,49015	-0,0130903
75,4000	3,49942	-0,0131362
75,5000	3,50974	-0,0131835
75,6000	3,52052	-0,0132191
75,7000	3,52982	-0,0132621
75,8000	3,54012	-0,0133030
75,9000	3,55039	-0,0133448
76,0000	3,55994	-0,0133833
76,1000	3,56975	-0,0134240
76,2000	3,57887	-0,0134667
76,3000	3,58971	-0,0135117
76,4000	3,60019	-0,0135570
76,5000	3,61020	-0,0135885
76,6000	3,62002	-0,0136235
76,7000	3,62929	-0,0136593
76,8000	3,63840	-0,0137059
76,9000	3,64893	-0,0137492
77,0000	3,65916	-0,0137946
77,1000	3,66922	-0,0138430
77,2000	3,67966	-0,0138845
77,3000	3,68975	-0,0139309
77,4000	3,69841	-0,0139803
77,5000	3,70879	-0,0140241
77,6000	3,71939	-0,0140506
77,7000	3,72836	-0,0140678
77,8000	3,73836	-0,0140872
77,9000	3,74718	-0,0141135
78,0000	3,75795	-0,0141374
78,1000	3,76788	-0,0141696
78,2000	3,77848	-0,0142029
78,3000	3,78797	-0,0142324
78,4000	3,79834	-0,0142639
78,5000	3,80734	-0,0142928
78,6000	3,81828	-0,0143243
78,7000	3,82769	-0,0143600
78,8000	3,83785	-0,0144043
78,9000	3,84713	-0,0144431
79,0000	3,85747	-0,0144796
79,1000	3,86794	-0,0145126
79,2000	3,87768	-0,0145405
79,3000	3,88708	-0,0145666
79,4000	3,89724	-0,0146008
79,5000	3,90732	-0,0146368
79,6000	3,91737	-0,0146660
79,7000	3,92678	-0,0147042
79,8000	3,93822	-0,0147486
79,9000	3,94800	-0,0148151
80,0000	3,95786	-0,0148841
80,1000	3,96699	-0,0149368
80,2000	3,97571	-0,0149882
80,3000	3,98707	-0,0150237
80,4000	3,99674	-0,0150467
80,5000	4,00533	-0,0150624
80,6000	4,01784	-0,0150766
80,7000	4,02786	-0,0150826
80,8000	4,03755	-0,0150812
80,9000	4,04687	-0,0150748
81,0000	4,05730	-0,0150796
81,1000	4,06664	-0,0150905
81,2000	4,07782	-0,0151061
81,3000	4,08636	-0,0151342
81,4000	4,09671	-0,0151631
81,5000	4,10709	-0,0151879
81,6000	4,11699	-0,0152188
81,7000	4,12680	-0,0152597
81,8000	4,13559	-0,0152992
81,9000	4,14611	-0,0153441
82,0000	4,15581	-0,0153861
82,1000	4,16568	-0,0154186
82,2000	4,17585	-0,0154480
82,3000	4,18546	-0,0154691
82,4000	4,19619	-0,0154855
82,5000	4,20503	-0,0155022
82,6000	4,21545	-0,0155035
82,7000	4,22492	-0,0155123
82,8000	4,23560	-0,0155156
82,9000	4,24561	-0,0155134
83,0000	4,25699	-0,0155268
83,1000	4,26492	-0,0155475
83,2000	4,27513	-0,0155744
83,3000	4,28478	-0,0156077
83,4000	4,29426	-0,0156395
83,5000	4,30423	-0,0156684
83,6000	4,31489	-0,0157031
83,7000	4,32472	-0,0157346
83,8000	4,33429	-0,0157702
83,9000	4,34524	-0,0157952
84,0000	4,35499	-0,0158087
84,1000	4,36580	-0,0158265
84,2000	4,37506	-0,0158422
84,3000	4,38508	-0,0158535
84,4000	4,39373	-0,0158613
84,5000	4,40452	-0,0158634
84,6000	4,41450	-0,0158710
84,7000	4,42640	-0,0158853
84,8000	4,43597	-0,0159059
84,9000	4,44457	-0,0159296
85,0000	4,45561	-0,0159548
85,1000	4,46449	-0,0159815
85,2000	4,47449	-0,0160194
85,3000	4,48372	-0,0160537
85,4000	4,49509	-0,0160832
85,5000	4,50401	-0,0161160
85,6000	4,51427	-0,0161462
85,7000	4,52454	-0,0161769
85,8000	4,53296	-0,0161959
85,9000	4,54442	-0,0162087
86,0000	4,55424	-0,0162190
86,1000	4,56437	-0,0162289
86,2000	4,57341	-0,0162394
86,3000	4,58285	-0,0162498
86,4000	4,59321	-0,0162528
86,5000	4,60363	-0,0162588
86,6000	4,61247	-0,0162548
86,7000	4,62271	-0,0162522
86,8000	4,63317	-0,0162594
86,9000	4,64367	-0,0162643
87,0000	4,65319	-0,0162664
87,1000	4,66271	-0,0162726
87,2000	4,67388	-0,0162891
87,3000	4,68291	-0,0163050
87,4000	4,69418	-0,0163275
87,5000	4,70293	-0,0163515
87,6000	4,71342	-0,0163787
87,7000	4,72353	-0,0164049
87,8000	4,73358	-0,0164236
87,9000	4,74258	-0,0164378
88,0000	4,75347	-0,0164485
88,1000	4,76299	-0,0164567
88,2000	4,77320	-0,0164696
88,3000	4,78227	-0,0164826
88,4000	4,79321	-0,0164913
88,5000	4,80249	-0,0164974
88,6000	4,81371	-0,0165026
88,7000	4,82305	-0,0165073
88,8000	4,83286	-0,0165118
88,9000	4,84162	-0,0165184
89,0000	4,85197	-0,0165335
89,1000	4,86323	-0,0165446
89,2000	4,87311	-0,0165540
89,3000	4,88185	-0,0165676
89,4000	4,89257	-0,0165868
89,5000	4,90251	-0,0166118
89,6000	4,91313	-0,0166391
89,7000	4,92319	-0,0166692
89,8000	4,93246	-0,0166938
89,9000	4,94265	-0,0167080
90,0000	4,95142	-0,0167215
90,1000	4,96176	-0,0167336
90,2000	4,97101	-0,0167462
90,3000	4,98106	-0,0167505
90,4000	4,99265	-0,0167424
90,5000	5,00157	-0,0167238
90,6000	5,01222	-0,0167133
90,7000	5,02232	-0,0167094
90,8000	5,03258	-0,0167059
90,9000	5,04109	-0,0167163
91,0000	5,05126	-0,0167253
91,1000	5,06130	-0,0167405
91,2000	5,07154	-0,0167662
91,3000	5,08131	-0,0167955
91,4000	5,09125	-0,0168209
91,5000	5,10176	-0,0168426
91,6000	5,11253	-0,0168535
91,7000	5,12222	-0,0168595
91,8000	5,13207	-0,0168690
91,9000	5,14167	-0,0168666
92,0000	5,15089	-0,0168714
92,1000	5,16252	-0,0168808
92,2000	5,17161	-0,0168951
92,3000	5,18152	-0,0169090
92,4000	5,19205	-0,0169330
92,5000	5,20213	-0,0169603
92,6000	5,21272	-0,0169813
92,7000	5,22156	-0,0169963
92,8000	5,23143	-0,0170043
92,9000	5,24106	-0,0170071
93,0000	5,25132	-0,0169980
93,1000	5,26001	-0,0169930
93,2000	5,27129	-0,0169915
93,3000	5,28147	-0,0169982
93,4000	5,29099	-0,0170051
93,5000	5,30155	-0,0170194
93,6000	5,31121	-0,0170357
93,7000	5,32153	-0,0170404
93,8000	5,33211	-0,0170439
93,9000	5,34180	-0,0170419
94,0000	5,35091	-0,0170371
94,1000	5,36065	-0,0170297
94,2000	5,37010	-0,0170211
94,3000	5,38077	-0,0170069
94,4000	5,39012	-0,0170025
94,5000	5,40086	-0,0170081
94,6000	5,41058	-0,0170224
94,7000	5,42096	-0,0170359
94,8000	5,43043	-0,0170497
94,9000	5,44011	-0,0170635
95,0000	5,45036	-0,0170742
95,1000	5,46130	-0,0170872
95,2000	5,47030	-0,0170939
95,3000	5,48089	-0,0170947
95,4000	5,49120	-0,0170968
95,5000	5,50126	-0,0171121
95,6000	5,51203	-0,0171336
95,7000	5,52047	-0,0171633
95,8000	5,53094	-0,0171824
95,9000	5,54039	-0,0171973
96,0000	5,55106	-0,0172006
96,1000	5,55968	-0,0172017
96,2000	5,57013	-0,0172005
96,3000	5,58108	-0,0171983
96,4000	5,59069	-0,0171845
96,5000	5,60130	-0,0171635
96,6000	5,60957	-0,0171462
96,7000	5,62053	-0,0171354
96,8000	5,63099	-0,0171260
96,9000	5,64103	-0,0171247
97,0000	5,65000	-0,0171197
97,1000	5,66045	-0,0171138
97,2000	5,67034	-0,0171158
97,3000	5,68029	-0,0171221
97,4000	5,69110	-0,0171349
97,5000	5,70180	-0,0171503
97,6000	5,71197	-0,0171675
97,7000	5,72213	-0,0171863
97,8000	5,73125	-0,0172095
97,9000	5,74146	-0,0172264
98,0000	5,75090	-0,0172416
