wavelength,corrected_reflectance
442.30654551,19.238415148589496
442.73983906,19.299653363868234
443.17311875,19.30649506757966
443.60638457,19.3207592729332
444.03963649,19.318466585010345
444.47287449,19.334312618202645
444.90609856,19.366643202446724
445.33930868,19.433509097197078
445.77250482,19.505298186453214
446.20568697,19.605978000439162
446.63885511,19.72452602236378
447.07200922,19.850363199306194
447.50514928,19.98022035234709
447.93827527,20.104906783229392
448.37138718,20.22037002257879
448.80448497,20.330939958483974
449.23756865,20.410343305496596
449.67063818,20.48813398860892
450.10369354,20.522790181605064
450.53673472,20.552995499430498
450.9697617,20.586263021785566
451.40277446,20.648094380448725
451.83577298,20.714706950480796
452.26875725,20.803098713163052
452.70172723,20.895478808714987
453.13468291,20.998043529722995
453.56762428,21.101331395635533
454.00055132,21.21081628585747
454.433464,21.284183171827035
454.8663623,21.348027040668605
455.29924622,21.392347208046345
455.73211572,21.41294384415481
456.16497079,21.434855176533873
456.59781142,21.44759951852542
457.03063757,21.45236387453187
457.46344923,21.461091493756
457.89624639,21.490667861958922
458.32902903,21.50657505623824
458.76179711,21.534820393733213
459.19455064,21.54903013437855
459.62728958,21.582530838730108
460.06001392,21.621352833427835
460.49272363,21.658205489909424
460.92541871,21.712761467048985
461.35809913,21.739487443087924
461.79076486,21.7722265618022
462.22341591,21.782845382951187
462.65605223,21.780987632147635
463.08867382,21.759073866804794
463.52128065,21.73965111980705
463.95387271,21.70736334226876
464.38644998,21.672383434668486
464.81901243,21.641241902153155
465.25156005,21.605745762486904
465.68409283,21.58423548694337
466.11661073,21.562931021134027
466.54911374,21.5275295821093
466.98160185,21.49497402668318
467.41407503,21.456265296657197
467.84653327,21.429409172991726
468.27897654,21.388848220491
468.71140483,21.34057583726349
469.14381811,21.28945802801612
469.57621637,21.217684680785833
470.0085996,21.148439033335993
470.44096776,21.066889663156427
470.87332084,20.981213547075328
471.30565882,20.869247551797095
471.73798169,20.77093076785313
472.17028942,20.64931337311853
472.602582,20.53698322038333
473.0348594,20.414404714835882
473.4671216,20.294139589454126
473.8993686,20.17906736060396
474.33160036,20.06036231887056
474.76381687,19.97521005040306
475.19601811,19.899747689016397
475.62820407,19.84148408455388
476.06037471,19.799205974835303
476.49253003,19.767437269898494
476.92467,19.73732179593194
477.35679461,19.702378560053134
477.78890383,19.656662422724633
478.22099765,19.60023455983871
478.65307605,19.541864077926668
479.085139,19.472598386529643
479.5171865,19.395148574768463
479.94921851,19.334740434455647
480.38123503,19.29128258984541
480.81323602,19.265391117488505
481.24522149,19.268997160691995
481.67719139,19.30593308298128
482.10914572,19.364216998462883
482.54108446,19.45146187858399
482.97300758,19.552263783643408
483.40491507,19.651982726785345
483.83680691,19.76214305576998
484.26868308,19.880098148189944
484.70054356,20.000606442863667
485.13238833,20.10105380191614
485.56421738,20.20196789233006
485.99603067,20.306842239973555
486.4278282,20.39395304279318
486.85960995,20.48024303276129
487.29137589,20.566165289088705
487.72312601,20.660375473378725
488.15486029,20.759886804057945
488.5865787,20.886658007404286
489.01828124,21.03677531336177
489.44996788,21.221610589030156
489.8816386,21.437025376966627
490.31329338,21.700835462777878
490.7449322,21.99773805973395
491.17655505,22.315363182668783
491.6081619,22.637055307028938
492.03975274,22.96935036559485
492.47132755,23.290301246666758
492.90288631,23.596595946010012
493.33442899,23.875409422770268
493.76595559,24.115375283209733
494.19746607,24.339568166989803
494.62896043,24.551716680941198
495.06043864,24.765997004045904
495.49190069,24.990689377065504
495.92334655,25.23608146223113
496.3547762,25.51196545452569
496.78618963,25.837151796359993
497.21758682,26.184679305369638
497.64896774,26.55852359593676
498.08033239,26.950406335666056
498.51168074,27.34999340251446
498.94301276,27.750987309000852
499.37432845,28.126198798493274
499.80562778,28.487900642727325
500.23691074,28.81788825861728
500.6681773,29.120705818034477
501.09942745,29.390054548032822
501.53066116,29.611985869841764
501.96187842,29.79361905427255
502.39307921,29.93698529864757
502.82426351,30.056990004477974
503.2554313,30.144889121954584
503.68658256,30.224940559786436
504.11771727,30.303112388645832
504.54883542,30.391257400445127
504.97993698,30.521516185004515
505.41102193,30.679731182477298
505.84209026,30.875377150268204
506.27314195,31.115443527656524
506.70417698,31.380726098830266
507.13519532,31.67358717850682
507.56619696,31.981226881065073
507.99718189,32.27256839012423
508.42815007,32.52718322053135
508.8591015,32.76263268085859
509.29003615,32.93165628259652
509.72095401,33.04533088075562
510.15185505,33.110802450408194
510.58273926,33.139903600625566
511.01360661,33.14969788643544
511.44445709,33.14757179297444
511.87529069,33.17838147407519
512.30610737,33.23598224237803
512.73690712,33.334704569869636
513.16768992,33.482825265559974
513.59845576,33.658678094248216
514.02920461,33.8705989479742
514.45993645,34.11014672724651
514.89065127,34.368355486107305
515.32134905,34.62157644650127
515.75202976,34.884461993510826
516.18269339,35.12077904307373
516.61333992,35.32962011855196
517.04396933,35.49555648719254
517.4745816,35.63423437887512
517.90517671,35.73284880226232
518.33575465,35.79389113202797
518.76631539,35.824412054826624
519.19685891,35.822435566965254
519.6273852,35.79849552624707
520.05789424,35.76693168934743
520.488386,35.74830586018375
520.91886048,35.73437216717201
521.34931764,35.749006631169344
521.77975747,35.81083919465491
522.21017995,35.9168421463208
522.64058507,36.077653917037765
523.07097279,36.31288447950822
523.50134312,36.60155722285418
523.93169601,36.945303900397505
524.36203147,37.31575336704349
524.79234945,37.731175664731666
525.22264996,38.132988357671586
525.65293297,38.5234647767373
526.08319845,38.906462247033886
526.5134464,39.26352734333877
526.94367678,39.61552791876044
527.37388959,39.95366320731448
527.8040848,40.27743807414899
528.2342624,40.61640996061828
528.66442236,40.963625242054235
529.09456467,41.33386077206666
529.5246893,41.74837424713675
529.95479624,42.2165123303531
530.38488547,42.72743985170278
530.81495697,43.27661284450347
531.24501072,43.876078587115124
531.67504671,44.50250694204642
532.1050649,45.154552447956775
532.53506529,45.83033585703775
532.96504785,46.51457278732083
533.39501257,47.21564956361136
533.82495942,47.891909755456936
534.25488839,48.55668586977704
534.68479946,49.22149598866352
535.11469261,49.871607024057745
535.54456782,50.491976105411425
535.97442507,51.09469712094151
536.40426434,51.66557190429612
536.83408561,52.21823483232823
537.26388887,52.744444380262536
537.69367409,53.2638376725117
