wavelength,corrected_reflectance
442.30654551,18.992357296577435
442.73983906,19.03924040116744
443.17311875,19.06399677660173
443.60638457,19.098147218947528
444.03963649,19.11875304816268
444.47287449,19.1600750316769
444.90609856,19.21075375104179
445.33930868,19.29640431010638
445.77250482,19.374140917499783
446.20568697,19.493953165233055
446.63885511,19.631883632815804
447.07200922,19.77041859368749
447.50514928,19.92191714901185
447.93827527,20.061255816285417
448.37138718,20.20202989380375
448.80448497,20.334863328831776
449.23756865,20.413788632745234
449.67063818,20.485534998118784
450.10369354,20.543353188172546
450.53673472,20.58212443225974
450.9697617,20.627646913690537
451.40277446,20.687948400387008
451.83577298,20.75228715376305
452.26875725,20.838558370828746
452.70172723,20.92676466342712
453.13468291,21.031026559574162
453.56762428,21.11950128054589
454.00055132,21.19969954384057
454.433464,21.25198177494484
454.8663623,21.306893122244368
455.29924622,21.347771658766092
455.73211572,21.361067681256515
456.16497079,21.3813803924522
456.59781142,21.404093222968744
457.03063757,21.414406117090753
457.46344923,21.441637683269875
457.89624639,21.468358825978925
458.32902903,21.500191705618754
458.76179711,21.532344717686865
459.19455064,21.57770951638392
459.62728958,21.60788715755687
460.06001392,21.647531759538186
460.49272363,21.68372361431592
460.92541871,21.718215399248603
461.35809913,21.753743228318022
461.79076486,21.789873097627805
462.22341591,21.797981307685973
462.65605223,21.8074624097227
463.08867382,21.7920658112987
463.52128065,21.768212260318514
463.95387271,21.740255465686634
464.38644998,21.720349614600863
464.81901243,21.697103440169975
465.25156005,21.673620286443516
465.68409283,21.65431400372928
466.11661073,21.63991134468451
466.54911374,21.620368832898077
466.98160185,21.617514660410993
467.41407503,21.614206597285648
467.84653327,21.61444572732036
468.27897654,21.60239351526908
468.71140483,21.600131544257334
469.14381811,21.592312574007998
469.57621637,21.570462952059444
470.0085996,21.522096912202024
470.44096776,21.47177349189621
470.87332084,21.403520864407284
471.30565882,21.321611307010876
471.73798169,21.244208013300486
472.17028942,21.15680451327381
472.602582,21.060933265526483
473.0348594,20.987275849062875
473.4671216,20.893532238230303
