code	purpose	old_code	collection_day	collection_month	collection_year	label	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	collection
INBUCR0412	nan	INBIOCRI001716561	19.0	4.0	1992.0	C412	nan	nan	nan	nan	nan	nan	nan	R. B Hitoy Cerere, Valle La Estrella.	R. B Hitoy Cerere, Valle La Estrella. Prov. Limón. COSTA RICA. 100m. 19 a 29 Abr 1992. E. López. L_N 643400_184600 #1443. INBIOCRI001716561. (Aparentemente Phanaeus pyrois). Sin cabeza	Phanaeus	pyrois	Costa Rica	Limón	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0413	nan	INB0003714895	26.0	3.0	2003.0	C413	nan	M	nan	nan	nan	nan	nan	P. I. La Amistad. Est Valle del Silencio.	Chrysina batesi. Det: A. Solís. COSTA RICA. Prov. Limón. P. I. La Amistad. Est Valle del Silencio. 2475 m. 26-30 MAR 2003. R. Delgado. M. Alfaro. R. González. D. Rubí. Tp de Luz. L_S_340258_577465 #73640. INB0003714895. INBIOCRI COSTA RICA. Falta élitro izquierdo.	Chrysina	batesi	Costa Rica	Limón	nan	nan	2475.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0414	nan	INBIOCRI002596554	nan	11.0	1997.0	C414	nan	F	nan	nan	nan	nan	nan	R. Grande de Orosi, desde Puente R. Dos Amigos hasta la Represa.	Chrysina optima. Det: A. Solís. COSTA RICA. Prov. Cartago, R. Grande de Orosi, desde Puente R. Dos Amigos hasta la Represa. 1400-1800m. NOV 1997. R. Delgado. Trampa de Luz. L_N_186600_562000 #48891. INBIOCRI002596554. Falta élitro izquierdo. 	Chrysina	optima	Costa Rica	Cartago	nan	nan	1400.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0415	nan	nan	nan	nan	nan	C415	nan	nan	nan	nan	nan	nan	nan	nan	Verde rojo iridiscente. Sin élitro izquierdo. 	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0416	nan	INB0003049590	30.0	6.0	1999.0	C416	nan	M	nan	nan	nan	nan	nan	San Ramón. Reserva Biol. Alberto Brenes. Río San Lorencito.	COSTA RICA. Prov . Alajuela. San Ramón. Reserva Biol. Alberto Brenes. Río San Lorencito. 850 m. 30 JUN DE 1999. W. Porras. Manual ( red, libre) L_N_245500_470800 #53846. Sin élitros. INB0003049590 INBIOCRI COSTA RICA.	Chrysina	bruyeai	Costa Rica	Alajuela	nan	nan	850.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0421	nan	INBIOCRI002037917	nan	8.0	1994.0	C421	nan	F	nan	nan	nan	nan	nan	La Catarata. P. N. Tapantí,	Chrysina optima. La Catarata. P. N. Tapantí, Prov. Cartago. COSTA RICA. 1700 m. Ago 1994. G. Mora, L_N_190900_560300 #3183. INBIOCRI002037917	Chrysina	optima	Costa Rica	Cartago	nan	nan	1700.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0422	nan	INB0003358370	3.0	7.0	1987.0	C422	nan	M	nan	nan	nan	nan	nan	P. N. Gte. Est Mengo. Volcán Cacao. Bque Primario	Chrysina chrysargyrea. Det: A. Solís. COSTA RICA.  Prov. Guanacaste. A.C.G. Liberia. P. N. Gte. Est Mengo. Volcán Cacao. Bque Primario. 1000 m. 3-6 JUL 1987. Junzen. Manual. L_N_322740-375198 #52577. INB0003358370. INBIOCRI COSTA RICA. Sin élitro izquierdo. Codigo aparece en vial, pero no está adentro. 	Chrysina	chrysargyrea	Costa Rica	Guanacaste	nan	nan	1000.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0423	nan	INBIOCRI001392214	13.0	6.0	1993.0	C423	nan	M	nan	nan	nan	nan	nan	R. San Lorencito, 5 km N de Colonia Palmareña. 	Chrysina aurora. Det: A. Solís. R. San Lorencito, 900 m. R. F. San Ramón, 5 km N de Colonia Palmareña. Prov Alajuela. COSTA RICA. 13-18 Jun 1993. I Curso Scarabaeidae. L-N-244500, 470700. INBIOCRI00139214	Chrysina	aurora	Costa Rica	Alajuela	nan	nan	900.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0424	nan	INBIOCRI002361338	nan	11.0	1995.0	C424	nan	M	nan	nan	nan	nan	nan	R. Grande de Orosí. desde Puente R. Dos Amigos hasta la Represa.	Chrysina optima. R. Grande de Orosí. desde Puente R. Dos Amigos hasta la Represa. Prov. Cartago. COSTA RICA. 1400m-1800m. NOV 1995. R. Delgado, de Luz. L_N_18660_562000 #6371. INBIOCRI002361338. Falta élitro izquierdo	Chrysina	optima	Costa Rica	Cartago	nan	nan	1400.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0425	nan	INBIOCRI001320065	nan	nan	nan	C425	nan	nan	nan	nan	nan	nan	nan	nan	Verde rugoso. INBIOCRI001320065. Sin cabeza.	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0426	nan	INB0004090510	14.0	6.0	2007.0	C426	nan	F	nan	nan	nan	nan	nan	Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla.	Chrysina resplendens .COSTA RICA. Prov. Guanacaste. Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla. 1000-1100m. 14-15 JUN 2007. J. A. Azofeifa. M. Campos. Tp. Luz  Mercurio. L_N_292650_422850 #91628. Sin élitros. Sin cabeza. INB0004090510 INBIOCRI COSTA RICA. Un élitro está en un vial con desecante.	Chrysina	resplendens	Costa Rica	Guanacaste	nan	nan	1000.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0431	nan	INB0003397038	13.0	11.0	2001.0	C431	nan	F	nan	nan	nan	nan	nan	Upala, Bijagua. P.N. Volcán Tenorio. Alberg. Heliconias. Send. Heliconias.	Chrysina aurigans. Det: A. Solís. COSTA RICA. Prov. Alajuela, Upala, Bijagua. P.N. Volcán Tenorio. Alberg. Heliconias. Send. Heliconias. 700 m. 13 NOV 2001. A. López. T. de Luz L_N_299100_422600 #65610. INB00033997038 INBIOCRI COSTA RICA. Tiene únicamente la parte superior del élitro derecho.	Chrysina	aurigans	Costa Rica	Alajuela	nan	nan	700.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
