genus	species	binomial	species_code	code	notes	location	latitude	longitude	province	protected_area	canton	district	max_altitude	min_altitude	collection_date_start	collection_date_end	collector
Chrysina	kalinini	Chrysina kalinini	320	1717606		Estacion Biologica Las Alturas.	8.9494444	-82.8364378	Puntarenas	No protegida	Coto Brus	Sabalito	1500	1350	01/04/1992	30/04/1992	"Ramirez, Marvin"
Chrysina	kalinini	Chrysina kalinini	320	1736458		"Estacion Altamira, 1 Km S del Cerro Biolley"	9.0329867	-83.0108869	Puntarenas	P.N. La Amistad	Buenos Aires	Potrero Grande	1500	1150	21/02/1994	10/03/1994	"Delgado, Roberto"
Chrysina	kalinini	Chrysina kalinini	320	1736459	Algo diferente	"Estacion Altamira, 1 Km S del Cerro Biolley"	9.0329867	-83.0108869	Puntarenas	P.N. La Amistad	Buenos Aires	Potrero Grande	1500	1150	21/02/1994	10/03/1994	"Delgado, Roberto"
Chrysina	kalinini	Chrysina kalinini	320	2195354		"Estacion Pittier, 4.2 Km SW del Cerro Gemelo"	9.0256639	-82.9626953	Puntarenas	No protegida	Coto Brus	Pittier	1700	1600	23/01/1995	02/02/1995	"Villalobos, Ronald"
Chrysina	kalinini	Chrysina kalinini	320	2195355		"Estacion Pittier, 4.2 Km SW del Cerro Gemelo"	9.0256639	-82.9626953	Puntarenas	No protegida	Coto Brus	Pittier	1700	1600	23/01/1995	02/02/1995	"Villalobos, Ronald"
Chrysina	kalinini	Chrysina kalinini	320	2195357		"Estacion Pittier, 4.2 Km SW del Cerro Gemelo"	9.0256639	-82.9626953	Puntarenas	No protegida	Coto Brus	Pittier	1700	1600	23/01/1995	02/02/1995	"Villalobos, Ronald"
Chrysina	kalinini	Chrysina kalinini	320	2195358		"Estacion Pittier, 4.2 Km SW del Cerro Gemelo"	9.0256639	-82.9626953	Puntarenas	No protegida	Coto Brus	Pittier	1700	1600	23/01/1995	02/02/1995	"Villalobos, Ronald"
Chrysina	kalinini	Chrysina kalinini	320	2234738		"Estacion Pittier, 4.2 Km SW del Cerro Gemelo"	9.0256639	-82.9626953	Puntarenas	No protegida	Coto Brus	Pittier	1700	1600	23/01/1995	02/02/1995	"Lobo, Manuel"
Chrysina	kalinini	Chrysina kalinini	320	2456006		"Estacion Pittier, 4.2 Km SW del Cerro Gemelo"	9.0256639	-82.9626953	Puntarenas	No protegida	Coto Brus	Pittier	1700	1600	21/06/1995	29/07/1995	"Fletes, Eida"
Chrysina	kalinini	Chrysina kalinini	320	2548659		"Coto Brus, sendero a Cerro Pittier, 600 m NW de la Estacion"	9.0288328	-82.9649631	Puntarenas	P.N. La Amistad	Coto Brus	Pittier	1800	1750	05/03/1997	11/03/1997	"Moraga, Marcos"
Chrysina	kalinini	Chrysina kalinini	320	3036568		"A.C.L.A.P, Coto Brus, Zona Prot Las Tablas, Est Biol Las Alturas"	8.9521536	-82.8346203	Puntarenas	Z.P. Las Tablas	Coto Brus	Sabalito	1900	1500	16/03/1999	23/03/1999	"Mendez, Henry"
Chrysina	kalinini	Chrysina kalinini	320	3045302		"Estacion Altamira, 1 Km S del Cerro Biolley"	9.0329867	-83.0108869	Puntarenas	P.N. La Amistad	Buenos Aires	Potrero Grande	1500	1150	23/05/1998	31/05/1998	"Villalobos, Ronald"
Chrysina	kalinini	Chrysina kalinini	320	3102408		"A.C.L.A.P, Coto Brus, Zona Prot Las Tablas, Est Biol Las Alturas"	8.9521536	-82.8346203	Puntarenas	Z.P. Las Tablas	Coto Brus	Sabalito	1900	1500	15/03/1999	24/03/1999	"Corrales, Jorge"
Chrysina	kalinini	Chrysina kalinini	320	3102412		"A.C.L.A.P, Coto Brus, Zona Prot Las Tablas, Est Biol Las Alturas"	8.9521536	-82.8346203	Puntarenas	Z.P. Las Tablas	Coto Brus	Sabalito	1900	1500	15/03/1999	24/03/1999	"Corrales, Jorge"
Chrysina	kalinini	Chrysina kalinini	320	3169943		"Coto Brus, Estacion Pittier"	9.0177778	-82.9513889	Puntarenas	No protegida	Coto Brus	Pittier	1680	1400	03/09/1999	03/09/1999	"González Tenorio, Róger"
Chrysina	resplendens	Chrysina resplendens	119	159438	"Hacer espectro izquierdo, no fue hecho"	"Rio San Lorencito, 5 km N de Colonia Palmarena"	10.2195333	-84.6007581	Alajuela	R.B. Alberto Manuel Brenes	San Ramón	Angeles	900	800	01/03/1990	31/03/1990	"I Carabidae, Curso"
