wavelength,L,R,reflectance
421.49253135,16.37350617,27.715678585718056,44.08918475571805
421.92646768,16.17080508,27.81758264805591,43.98838772805591
422.36039106,15.98876989,27.89989741467251,43.88866730467251
422.79430148,15.79933219,27.994010575630938,43.79334276563094
423.22819892,15.64986575,28.166448619181157,43.81631436918116
423.66208336,15.52219891,28.288593538271662,43.81079244827166
424.09595478,15.42400356,28.38512699828222,43.80913055828222
424.52981316,15.31038753,28.5596252359544,43.8700127659544
424.96365849,15.18119381,28.74519217988131,43.92638598988131
425.39749074,15.10091501,28.897725352625194,43.998640362625196
425.83130989,15.01241096,29.148144005404585,44.160554965404586
426.26511593,14.90124534,29.346555145867814,44.24780048586781
426.69890883,14.80180554,29.59670915113848,44.39851469113848
427.13268858,14.71756534,29.876454279110302,44.5940196191103
427.56645516,14.59029515,30.11957664727465,44.709871797274644
428.00020855,14.53693137,30.304263371036306,44.841194741036304
428.43394873,14.44795839,30.561548629784753,45.00950701978475
428.86767568,14.39658092,30.751616162703524,45.148197082703525
429.30138939,14.33324092,30.856301869652615,45.18954278965261
429.73508982,14.25820755,30.940688174077746,45.198895724077744
430.16877697,14.17237074,30.989812615549177,45.162183355549175
430.60245081,14.10491736,31.09345396413242,45.19837132413242
431.03611133,14.01297211,31.163740363529644,45.17671247352965
431.46975851,13.94630296,31.267954661478786,45.21425762147879
431.90339232,13.88097992,31.435928300652776,45.31690822065278
432.33701276,13.8199632,31.630348295199127,45.45031149519913
432.77061979,13.71829961,31.800217306654073,45.51851691665407
433.2042134,13.63025251,32.041947588204614,45.67220009820461
433.63779357,13.58373954,32.247954013238214,45.83169355323821
434.07136029,13.5043766,32.48465556357223,45.98903216357223
434.50491352,13.45196371,32.669903706547736,46.12186741654774
434.93845327,13.41668605,32.88474779974178,46.301433849741784
435.37197949,13.37849443,33.081752544063306,46.46024697406331
435.80549219,13.33623842,33.24086771860788,46.57710613860788
436.23899132,13.28811527,33.441352461497345,46.729467731497344
436.67247689,13.2537132,33.59999923440597,46.85371243440597
437.10594887,13.20146773,33.80202036407895,47.003488094078946
437.53940723,13.14075969,34.031481233286904,47.17224092328691
437.97285197,13.06636606,34.16133781711417,47.22770387711417
438.40628306,12.99838876,34.30561345085307,47.30400221085307
438.83970048,12.92371551,34.479788414243814,47.403503924243815
439.27310421,12.85186513,34.699217206469584,47.551082336469584
439.70649424,12.7788093,34.849775796688654,47.62858509668865
440.13987054,12.70592276,34.98632192795427,47.69224468795427
440.5732331,12.63238828,35.01152288709238,47.643911167092384
441.00658189,12.57445814,35.08732498068369,47.661783120683694
441.4399169,12.50976003,35.181379381122575,47.69113941112258
441.87323811,12.44392313,35.19941509879648,47.64333822879648
442.30654551,12.37504243,35.197582650322936,47.572625080322936
442.73983906,12.30921885,35.215551948652625,47.524770798652625
443.17311875,12.25739511,35.32918721041349,47.586582320413484
443.60638457,12.18227567,35.407405936216165,47.58968160621616
444.03963649,12.11204293,35.52632547074122,47.63836840074122
444.47287449,12.06748701,35.684138636033246,47.75162564603325
444.90609856,12.01638224,35.846547345914416,47.862929585914415
445.33930868,11.96522999,35.94375847438631,47.908988464386304
445.77250482,11.91376084,36.07216135480941,47.98592219480941
446.20568697,11.88477875,36.20953712093162,48.094315870931624
446.63885511,11.83580304,36.261566629621036,48.09736966962104
447.07200922,11.77070453,36.3174006772322,48.0881052072322
447.50514928,11.72189294,36.35481179421569,48.076704734215696
447.93827527,11.67249238,36.415415445915706,48.08790782591571
448.37138718,11.61485925,36.45152679301432,48.06638604301432
448.80448497,11.55335324,36.47398261417429,48.02733585417429
449.23756865,11.49676681,36.53989752855544,48.03666433855544
449.67063818,11.44277829,36.619438581207646,48.062216871207646
450.10369354,11.36927153,36.662921689894276,48.032193219894275
450.53673472,11.30078057,36.71525664648084,48.01603721648084
450.9697617,11.23860003,36.7242041470445,47.962804177044504
451.40277446,11.19220748,36.79693373893399,47.98914121893399
451.83577298,11.14675515,36.85100734034045,47.99776249034045
452.26875725,11.09758877,36.886852375445976,47.98444114544598
452.70172723,11.05333439,36.85322405312252,47.90655844312252
