code	old_code	genus	species	sex_code	purpose	notes	country	province	location	location_code	latitude	longitude	elevation	collection_day	collection_month	collection_year	death_date	refrigerator	tray	row	column	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	label
CICIMAUCR0034	OPTS-2	Chrysina	optima	M		Right mesothoracic leg pulled by Angel Solis optima (silver form)	Costa Rica 	Cartago	Tapanti, Costa Rica	TP	9.703526	-83.781989	1487	7	5	2022		1	1	3	1	Dark	Left eye, C2	through 1X PBS wash series	Osmication	Right eye, C2	95%	right, dry	CICIMAUCR0034 TP//SEX: M 7.V.22
CICIMAUCR0035	OPTS-1	Chrysina	optima	M		PLAM3 OPTS 2 PLATS 4 ETOH, Left metathoracic leg pulled for Angel Solis / Right mesothoracic leg pulled by Angel Solis. optima (silver form)	Costa Rica 	Cartago	Tapanti, Costa Rica	TP	9.703526	-83.781989	1487	7	5	2022		1	1	3	1	Light	Left eye, C1	through 1X PBS wash series	Osmication	Right eye, C1	95%	right, dry	CICIMAUCR0035 TP//SEX: M 7.V.22
CICIMAUCR0036	OPTS-3	Chrysina	optima	M		OPTS-3 C. optima male light EtOH 95% Tapanti 7.V.2022, Right mesothoracic leg pulled by Angel Solis. optima (silver form)	Costa Rica 	Cartago	Tapanti, Costa Rica	TP	9.703526	-83.781989	1487	7	5	2022		1	1	3	1	Light	Left eye, D2	through 1X PBS wash series	Osmication	Right eye, D2	95%	right, dry	CICIMAUCR0036 TP//SEX: M 7.V.22
CICIMAUCR0037	OPTS-4	Chrysina	optima	F		Female, unreadable, Right mesothoracic leg pulled by Angel Solis. optima (silver form)	Costa Rica 	Cartago	Tapanti, Costa Rica	TP	9.703526	-83.781989	1487	7	5	2022		1	1	3	1	Light	Left eye, D3	through 1X PBS wash series	Osmication	Right eye, D3	95%	right, dry	CICIMAUCR0037 TP//SEX: F 7.V.22
CICIMAUCR0038	2017-2	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 ERG-DI 9-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	9.V.2017	1	1	3	2								CICIMAUCR0038 TP//SEX: M IV.2017
CICIMAUCR0039	2017-3	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 ERG-DI 8-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	8.V.2017	1	1	3	2								CICIMAUCR0039 TP//SEX: F IV.2017
CICIMAUCR0040	2017-4	Chrysina	optima	M		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017  ERG-DI 9-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	9.V.2017	1	1	3	2								CICIMAUCR0040 TP//SEX: M IV.2017
CICIMAUCR0041	2017-5	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017  ERG-DI 12-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	12.V.2017	1	1	3	2								CICIMAUCR0041 TP//SEX: F IV.2017
CICIMAUCR0042	2017-6	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017  ERG-DI ?-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	V.2017	1	1	3	2								CICIMAUCR0042 TP//SEX: F IV.2017
CICIMAUCR0043	2017-7	Chrysina	optima	F		C.optima (p) Costa Rica, Cartago. P.N. Tapantí 1500 msnm Col Abril 2017 ERG-DI 15-V-2017	Costa Rica 	Cartago	P. N. Tapantí	TP	9.574242117	-83.75709361	1500		4	2017	15.V.2017	1	1	3	2								CICIMAUCR0043 TP//SEX: F IV.2017
